Date,Open,High,Low,Close,Volume,Daily_Return,Price_Range,Price_Change,MA_7,MA_30,MA_90,Volatility_30d,Day_of_Week,Month,Year,Quarter
2015-09-20,231.4,232.37,230.91,231.21,14444700,-0.12,1.46,-0.19,230.79,231.08,256.69,2.15,Sunday,9,2015,3
2015-09-21,231.22,231.22,226.52,227.09,19678800,-1.78,4.7,-4.13,230.28,230.97,256.5,2.17,Monday,9,2015,3
2015-09-22,226.97,232.39,225.12,230.62,25009300,1.56,7.27,3.65,230.33,231.05,256.39,2.18,Tuesday,9,2015,3
2015-09-23,230.94,231.84,229.59,230.28,17254100,-0.15,2.24,-0.65,230.5,231.71,256.25,1.61,Wednesday,9,2015,3
2015-09-24,230.36,235.65,230.29,234.53,25097800,1.84,5.35,4.17,231.17,232.14,256.15,1.34,Thursday,9,2015,3
2015-09-25,234.36,237.43,233.68,235.14,22363600,0.26,3.74,0.78,231.48,232.45,255.97,1.3,Friday,9,2015,3
2015-09-26,235.08,235.4,233.36,234.34,13724100,-0.34,2.04,-0.74,231.89,232.77,255.81,1.3,Saturday,9,2015,3
2015-09-27,234.14,234.53,232.48,232.76,14179900,-0.68,2.05,-1.38,232.11,232.82,255.54,1.2,Sunday,9,2015,3
2015-09-28,232.84,239.34,232.47,239.14,24713000,2.74,6.87,6.31,233.83,233.13,255.27,1.29,Monday,9,2015,3
2015-09-29,239.02,239.8,235.93,236.69,22691300,-1.03,3.87,-2.33,234.7,233.4,255.03,1.3,Tuesday,9,2015,3
2015-09-30,236.64,237.73,235.63,236.06,19743500,-0.26,2.1,-0.58,235.52,233.6,254.81,1.3,Wednesday,9,2015,3
2015-10-01,236.0,238.45,235.62,237.55,20488800,0.63,2.83,1.54,235.95,233.91,254.6,1.29,Thursday,10,2015,4
2015-10-02,237.26,238.54,236.6,237.29,19677900,-0.11,1.94,0.03,236.26,234.18,254.34,1.29,Friday,10,2015,4
2015-10-03,237.2,239.32,236.94,238.73,16482700,0.61,2.37,1.53,236.89,234.56,253.97,1.28,Saturday,10,2015,4
